,Unnamed: 0_x,CDS_uniq,max_lst,min_lst,med_lst,sd_lst,Unnamed: 0_y,lat,lon,mean_lst
101,101,38745343890019,299.42368932038823,299.42368932038823,299.42368932038823,0.0,101,37.7755109134,-122.483876466,299.42368932038823
102,102,38684786041289,301.879841897233,301.879841897233,301.879841897233,0.0,102,37.7369100922,-122.421488733,301.879841897233
103,103,38684786041560,299.5638793103448,299.5638793103448,299.5638793103448,0.0,103,37.7144761535,-122.459629342,299.5638793103448
104,104,38684786041578,301.12521739130426,301.12521739130426,301.12521739130426,0.0,104,37.797801503,-122.426117889,301.12521739130426
105,105,38684786040851,300.1385221674877,300.1385221674877,300.1385221674877,1.1196890040669905e-05,105,37.731260168,-122.470481923,300.1385221674877
106,106,38684786041594,301.12521739130426,301.12521739130426,301.12521739130426,3.4119689598080286e-06,106,37.7940061973,-122.418818509,301.12521739130426
107,107,38684786041529,299.9445283018867,299.9445283018867,299.9445283018867,5.086263020833333e-06,107,37.7488444172,-122.492756089,299.9445283018867
108,108,38684786041610,300.3454077253219,300.3454077253219,300.3454077253219,4.404832986371046e-06,108,37.7302939617,-122.448254628,300.3454077253219
109,109,38684786115901,302.3830830039525,302.3830830039525,302.3830830039525,6.229374549314316e-06,109,37.7817960022,-122.419774053,302.3830830039525
110,110,38684786041685,299.7469607843135,296.41786407766983,296.41786407766983,1.3072587961223123,110,37.7373177162,-122.499398743,297.0990986486286
111,111,38684786041701,301.96038314176224,301.96038314176224,301.96038314176224,7.62939453125e-06,111,37.7125234238,-122.409899462,301.96038314176224
112,112,38684786059919,301.96038314176224,298.4683950617283,301.96038314176224,0.4492263195136933,112,37.7157450781,-122.41208132,301.8335536856765
113,113,38684783830205,300.7579757085021,300.7579757085021,300.7579757085021,0.0,113,37.780647174,-122.445967517,300.7579757085021
114,114,38684786040893,303.8803100775194,303.8803100775194,303.8803100775194,3.4119689598080286e-06,114,37.7605212887,-122.395843685,303.8803100775194
115,115,38684783830031,303.26286821705406,301.3193650793652,303.26286821705406,0.961784622620366,115,37.7750129864,-122.433897365,302.3416315457494
116,116,38684786041727,299.3628155339807,299.3628155339807,299.3628155339807,0.0,116,37.7428739907,-122.46434905,299.381298096003
117,117,38684786041131,298.697751004016,298.697751004016,298.697751004016,0.0,117,37.8019616107,-122.416609581,298.7088400112076
118,118,38684786113245,298.5662135922331,298.5662135922331,298.5662135922331,5.909703592235439e-06,118,37.7589645358,-122.469682743,298.5662135922331
119,119,38684780132241,303.3085057471263,303.3085057471263,303.3085057471263,5.7672801667667724e-06,119,37.7368011648,-122.400331822,303.3085057471263
120,120,38769270132183,304.79952569169944,304.79952569169944,304.79952569169944,0.0,120,37.7601840685,-122.411330064,304.79952569169944
121,121,38684783830197,296.6947136563875,296.6947136563875,296.6947136563875,0.0,121,37.7632241702,-122.46357714,296.6947136563875
122,122,38684786041644,297.2496618357489,297.2496618357489,297.2496618357489,0.0,122,37.7836033468,-122.471451599,297.5282723123411
123,123,38103893830361,298.8709401709402,298.45222222222225,298.45222222222225,0.1740776788066479,123,37.74706439,-122.452873041,298.54121638172256
124,124,38103893830395,304.1786100386102,304.1786100386102,304.1786100386102,0.0,124,37.7504324836,-122.409396551,304.1786100386102
125,125,38684780123505,303.9114068441065,303.9114068441065,303.9114068441065,0.0,125,37.7552286946,-122.408860694,303.9114068441065
126,126,38684780117523,299.022092050209,297.8865546218489,299.022092050209,0.3568649849732191,126,37.8018258148,-122.435481052,298.9223922269836
127,127,38684780117499,297.2918222222224,294.3156950672646,297.2918222222224,1.4508560998477469,127,37.7975463908,-122.461054128,296.26580272085107
128,128,38771310137307,302.99538461538475,302.99538461538475,302.99538461538475,0.0,128,37.7345511428,-122.380846367,302.99538461538475
