,unique_ide,mean_lst,max_lst,min_lst,sd_lst,latitude,longitude
196,5587/003_2018,303.3085057471263,303.3085057471263,303.3085057471263,0.0,37.74025708082683,-122.40098857004271
197,0700/018_2018,301.1990476190477,301.1990476190477,301.1990476190477,0.0,37.78542182374412,-122.4285485336743
198,3712/025_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.7928408688593,-122.39535932476996
199,3727/202_2018,302.3830830039525,302.3830830039525,302.3830830039525,0.0,37.776807746762735,-122.41147431653204
200,0312/009_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.78743161726269,-122.4043714285332
201,3807/001_2018,303.88638783269977,303.88638783269977,303.88638783269977,0.0,37.76982894660691,-122.40010114403664
202,3708/174_2018,298.7633948339484,298.7633948339484,298.7633948339484,4.404832986371046e-06,37.78990403436664,-122.3999125063293
203,3918/010_2018,303.9268679245282,303.9268679245282,303.9268679245282,0.0,37.76741760171865,-122.40621585227188
204,3641/070_2018,304.1786100386102,304.1786100386102,304.1786100386102,0.0,37.75329670274832,-122.41585008755462
205,0295/016_2018,301.3270042194094,301.3270042194094,301.3270042194094,0.0,37.788910163294815,-122.40719603499478
206,3721/001_2018,298.7633948339484,298.7633948339484,298.7633948339484,0.0,37.78948763263012,-122.39759340918272
207,3788/041_2018,300.33751824817534,300.33751824817534,300.33751824817534,4.404832986371046e-06,37.779561338778855,-122.39303976839985
208,3721/120_2018,298.7633948339484,298.7633948339484,298.7633948339484,4.404832986371046e-06,37.7884461707073,-122.3986412421405
209,3735/063_2018,298.7633948339484,298.7633948339484,298.7633948339484,4.404832986371046e-06,37.78631981150843,-122.39823507459867
210,0228/038_2018,297.58708487084857,297.58708487084857,297.58708487084857,0.0,37.79471013385768,-122.40194964211749
211,3719/018_2018,293.15658536585374,293.15658536585374,293.15658536585374,0.0,37.789884143548015,-122.39489272958352
212,4017/005_2018,304.5536964980545,304.5536964980545,304.5536964980545,0.0,37.761971030191965,-122.41064650292068
213,3708/096_2018,298.7633948339484,298.7633948339484,298.7633948339484,4.404832986371046e-06,37.78887747228844,-122.40028195945028
